,id,tag
187,138,Referrals
188,173,Messaging
189,173,Customer Service
190,169,Cashierless Checkout
191,169,Marketplace
192,169,Payments
193,162,API
194,162,Email
195,153,Productivity
196,152,Entertainment
197,152,Gaming
198,151,SaaS
199,150,E-Commerce
200,150,Analytics
201,150,Retail Tech
202,148,Analytics
203,142,Advertising
204,142,Music
205,133,Hardware
206,133,Marketplace
207,175,Marketplace
208,175,Computer Vision
209,174,Marketplace
210,167,Productivity
211,167,Collaboration
212,167,SMB
213,166,Finance
214,166,Investing
215,163,Education
216,163,Marketplace
217,161,Marketplace
218,161,Payments
219,157,SaaS
220,157,API
221,156,Community
222,156,Messaging
223,155,Data Science
224,155,Data Engineering
225,140,Cloud Computing
226,139,Health Tech
227,139,Fitness
228,137,Education
229,137,Recruiting
230,136,Messaging
231,136,Enterprise
232,135,E-Commerce
233,135,Retail
234,132,E-Commerce
235,132,Retail
236,132,Fashion
237,129,SaaS
238,129,Marketing
239,88,SaaS
240,88,B2B
241,86,Education
242,98,Fintech
243,98,Payments
244,91,Documents
245,91,Legal
246,91,LegalTech
247,90,Machine Learning
248,90,Healthcare
249,85,SaaS
250,85,B2B
251,85,E-commerce
252,83,SaaS
253,83,Health Tech
254,83,Biotech
255,83,Enterprise
256,82,SaaS
257,76,Developer Tools
258,76,SaaS
259,76,B2B
260,76,Messaging
261,76,Marketing
262,73,Developer Tools
263,73,Recruiting
264,72,Developer Tools
265,72,Open Source
266,72,GraphQL
267,116,Developer Tools
268,116,SaaS
269,116,Video
270,112,Marketplace
271,112,Video
272,110,SaaS
273,110,B2B
274,105,B2B
275,105,Sales
276,105,Marketing
277,105,AI
278,102,Fintech
279,102,Machine Learning
280,102,SaaS
281,102,B2B
282,99,Analytics
283,99,Social
284,89,Open Source
285,89,Big Data
286,89,Databases
287,87,Cloud Workload Protection
288,87,DevSecOps
289,87,Next-gen Network Security
290,80,Fintech
291,79,Grocery
292,75,Music
293,74,Collaboration
294,71,Developer Tools
295,70,Analytics
296,130,IoT
297,130,Automotive
298,124,SaaS
299,124,Advertising
300,122,Advertising
301,117,DevOps
302,117,Databases
303,115,Education
304,115,Gaming
305,106,Delivery
306,106,Food Tech
307,104,Transportation
308,103,Education
309,101,E-Commerce
310,101,Location-based
311,95,SaaS
312,95,Productivity
313,95,Email
314,94,Video
315,92,Education
316,84,Sales
317,84,CRM
318,84,Telecommunications
319,81,Developer Tools
320,77,Augmented Reality
321,128,Real Estate
322,128,Proptech
323,126,Documents
324,126,SaaS
325,126,Collaboration
326,125,Marketplace
327,125,Real Estate
328,121,Marketplace
329,120,Insurance
330,114,Video
331,114,Advertising
332,109,Marketplace
333,109,Reviews
334,108,Social Network
335,107,Productivity
336,100,Analytics
337,40,Developer Tools
338,40,B2B
339,40,Analytics
340,40,Marketing
341,40,Data Visualization
342,30,Computer Vision
343,8,Construction
344,60,Fintech
345,60,Payments
346,24,B2B
347,24,Payroll
348,24,Health Insurance
349,4940,Fintech
350,62,Healthcare
351,52,Hardware
352,52,IoT
353,52,Telecommunications
354,5,Hard Tech
355,5,Hardware
356,5,Robotics
357,35,Productivity
358,35,Collaboration
359,32,Marketplace
360,31,E-Commerce
361,31,Retail
362,31,Fashion
363,19,Cloud Computing
364,16,Messaging
365,16,Healthcare
366,1548,SaaS
367,1548,IoT
368,1548,B2B
369,1548,Enterprise
370,1548,AI
371,14,SaaS
372,14,B2B
373,14,HR Tech
374,10,Marketplace
375,10,SaaS
376,10,Recruiting
377,7,Real Estate
378,7,Proptech
379,67,E-Commerce
380,67,Retail
381,65,Video
382,65,Social
383,58,Automotive
384,54,Video
385,54,Media
386,51,Fintech
387,51,SaaS
388,51,HR Tech
389,50,Computer Vision
390,49,Security
391,47,Analytics
392,47,Agriculture
393,44,Developer Tools
394,44,SaaS
395,44,B2B
396,42,Crowdfunding
397,38,Marketplace
398,29,Social Media
399,29,Marketing
400,29,Automation
401,25,Consumer
402,25,Messaging
403,25,Social
404,25,Social Network
405,20,Fintech
406,20,Payments
407,20,API
408,18,Productivity
409,18,Collaboration
410,15,Analytics
411,15,Big Data
412,13,SaaS
413,13,Travel
414,11,Messaging
415,11,Enterprise
416,11,SMB
417,9,Security
418,9,Enterprise
419,66,Nonprofit
420,66,Fundraising
421,63,Automotive
422,61,Productivity
423,61,Email
424,57,DevOps
425,56,Media
426,56,Social
427,55,Security
428,55,Privacy
429,48,Women's Health
430,48,Fashion
431,46,Kids
432,45,Gaming
433,43,No-code
434,43,Web Development
435,41,Fintech
436,41,Lending
437,39,Dating
438,39,Social
439,37,Analytics
440,37,Sales
441,36,Messaging
442,34,Design
443,34,Collaboration
444,33,Education
445,33,Coding Bootcamps
446,28,Marketplace
447,27,Gaming
448,26,Developer Tools
449,26,Machine Learning
450,23,Marketplace
451,23,Travel
452,22,Marketing
453,21,Education
454,21,Gaming
455,17,Messaging
456,17,Dating
457,17,Social
458,12,Customer Service
459,439,Crypto / Web3
460,468,Grocery
461,468,Delivery
462,468,E-commerce
463,445,SaaS
464,445,B2B
465,445,Biotech
466,429,SaaS
467,429,Human Resources
468,429,Talent Acquisition
469,412,Education
470,412,SaaS
471,414,Fintech
472,414,Marketplace
473,442,SaaS
474,442,B2B
475,442,Automation
476,469,Social Media
477,469,Social
478,469,Social Network
479,467,Media
480,464,API
481,464,SMS
482,464,Telecommunications
483,461,Hardware
484,461,Robotics
485,460,Manufacturing
486,460,Apparel
487,460,Customization
488,446,B2B
489,446,Travel
490,444,SaaS
491,444,Crowdfunding
492,440,SaaS
493,440,B2B
494,438,Consumer
495,432,Finance
496,432,Investing
497,417,Developer Tools
498,417,Healthcare
499,417,Health Insurance
500,415,Fintech
501,415,Marketplace
502,409,SaaS
503,409,E-commerce
504,407,DevSecOps
505,407,Collaboration
506,407,Security
507,407,Open Source
508,405,Health Tech
509,405,Health Insurance
510,403,Health Tech
511,403,Diagnostics
512,402,Privacy
513,402,Advertising
514,395,Developer Tools
515,395,SaaS
516,462,eLearning
517,462,Edtech
518,455,Video
519,455,Advertising
520,443,Messaging
521,441,Investing
522,441,Big Data
523,434,SaaS
524,434,B2B
525,434,Customer Success
526,433,E-commerce
527,423,Design Tools
528,413,Education
529,413,Marketplace
530,413,Sustainable Tourism
531,410,Sustainability
532,410,Food Tech
533,398,Advertising
534,397,Education
535,397,Coding Bootcamps
536,394,Analytics
537,390,Email
538,389,Electric Vehicles
539,388,Education
540,388,Video
541,388,Personalization
542,387,Design
543,466,Developer Tools
544,466,Hard Tech
545,465,E-Commerce
546,465,Retail
547,465,Fashion
548,463,Travel
549,463,Booking
550,459,Design
551,458,Calendar
552,457,Mobility
553,456,DevOps
554,456,Cloud Computing
555,454,E-Commerce
556,454,Crowdfunding
557,453,Video
558,453,Media
559,452,HR Tech
560,451,Analytics
561,451,Advertising
562,450,E-Commerce
563,449,SaaS
564,449,Cloud Computing
565,448,Design Tools
566,447,Gaming
567,437,B2B
568,437,Marketing
569,435,Telecommunications
570,431,Logistics
571,431,Supply Chain
572,430,Video
573,430,Social
574,427,3D Printing
575,425,Developer Tools
576,424,Entertainment
577,424,Video
578,424,Music
579,422,Social
580,421,E-Commerce
581,421,Analytics
582,420,Developer Tools
583,418,Consumer Health Services
584,418,Social Network
585,411,Analytics
586,408,SaaS
587,406,Video
588,406,API
589,399,Robotics
590,399,Drones
591,396,Community
592,396,Social
593,392,Advertising
594,391,Artificial Intelligence
595,391,Analytics
596,391,Marketing
597,391,CRM
598,386,Travel
599,498,SaaS
600,498,Analytics
601,482,SaaS
602,482,B2B
603,482,Analytics
604,482,Data Engineering
605,507,HR Tech
606,475,Hardware
607,475,Biometrics
608,516,Crowdfunding
609,516,Healthcare
610,508,Marketplace
611,508,E-commerce
612,505,LegalTech
613,503,Fintech
614,503,Investing
615,500,Health Insurance
616,497,Marketplace
617,497,Crowdfunding
618,493,Artificial Intelligence
619,493,Retail Tech
620,492,Marketplace
621,492,E-Commerce
622,492,Fashion
623,491,E-commerce
624,490,Analytics
625,490,Open Source
626,490,Time Series
627,490,Databases
628,488,Data Engineering
629,486,Logistics
630,486,Supply Chain
631,484,LegalTech
632,481,Education
633,481,SaaS
634,479,Real Estate
635,479,Construction
636,473,Analytics
637,473,Big Data
638,471,Hardware
639,471,SaaS
640,512,Marketplace
641,512,E-Commerce
642,512,Retail
643,511,Artificial Intelligence
644,511,Logistics
645,511,E-commerce
646,506,Recruiting
647,506,Remote Work
648,504,Payments
649,499,Health Tech
650,499,Medical Devices
651,494,Security
652,494,Enterprise
653,485,Developer Tools
654,483,Analytics
655,478,Marketplace
656,478,SaaS
657,478,Travel
658,472,Team Collaboration
659,472,Collaboration
660,515,Neurotechnology
661,514,Analytics
662,513,Drones
663,513,Enterprise
664,509,Hardware
665,509,IoT
666,509,Manufacturing
667,502,Consumer Health Services
668,501,Marketplace
669,496,Delivery
670,496,Logistics
671,496,E-commerce
672,495,Social Media
673,495,Music
674,489,Transportation
675,489,Mobility
676,487,Workflow Automation
677,487,Healthcare
678,480,Education
679,480,Edtech
680,477,Fintech
681,477,Payments
682,476,Hardware
683,476,E-Commerce
684,474,No-code
685,470,Fashion
686,531,Marketplace
687,531,E-commerce
688,542,Artificial Intelligence
689,542,Legal
690,528,Open Source
691,528,DevOps
692,566,SaaS
693,566,Design
694,566,Marketing
695,563,Fintech
696,555,Travel
697,552,Automation
698,549,Education
699,549,SaaS
700,549,B2B
701,540,Subscriptions
702,534,Developer Tools
703,534,Indoor Mapping
704,534,IoT
705,532,Logistics
706,532,Supply Chain
707,522,Marketplace
708,522,B2B
709,517,Mental Health Tech
710,567,Fitness
711,567,Health & Wellness
712,564,Analytics
713,564,Social
714,561,E-Commerce
715,560,Monitoring
716,558,Analytics
717,558,Music
718,556,Fintech
719,556,Payments
720,556,B2B
721,554,Marketplace
722,554,Real Estate
723,546,Hardware
724,543,Marketplace
725,543,3D Printing
726,541,Delivery
727,541,Food & Beverage
728,533,SaaS
729,533,Legal
730,526,Recruiting
731,524,Delivery
732,523,Fintech
733,523,Payments
734,523,API
735,521,SaaS
736,521,B2B
737,518,Advertising
738,569,Education
739,569,Robotics
740,565,Developer Tools
741,565,Productivity
742,559,Digital Health
743,559,Restaurant Tech
744,557,Productivity
745,557,Feedback
746,553,Health Tech
747,550,Video
748,548,Education
749,548,Video
750,547,Augmented Reality
751,545,Marketing
752,545,SMB
753,544,Fashion
754,538,Productivity
755,538,Messaging
756,536,Marketplace
757,536,E-commerce
758,535,Collaboration
759,535,Remote
760,529,Education
761,529,eLearning
762,527,Marketplace
763,525,Developer Tools
764,525,DevOps
765,525,Cloud Computing
766,519,Immigration
767,630,SaaS
768,636,Developer Tools
769,636,SaaS
770,636,B2B
771,580,Fitness
772,580,Health & Wellness
773,580,Femtech
774,590,Autonomous Delivery
775,590,Machine Learning
776,590,Climate
777,590,AI
778,590,Self-Driving Vehicles
779,595,SaaS
780,595,Logistics
781,595,Supply Chain
782,647,Health Tech
783,647,Biotech
784,643,SaaS
785,643,B2B
786,642,Artificial Intelligence
787,642,Education
788,641,Artificial Intelligence
789,641,Generative AI
790,641,Consumer
791,641,Productivity
792,639,Energy Storage
793,639,Hard Tech
794,639,Climate
795,634,E-Commerce
796,633,Fintech
797,633,Marketplace
798,633,Community
799,633,Crowdfunding
800,628,Privacy
801,626,SaaS
802,626,B2B
803,626,Travel
804,626,Proptech
805,622,SaaS
806,622,B2B
807,622,Housing
808,622,Enterprise
809,622,Networks
810,619,Marketplace
811,616,Notifications
812,615,Marketplace
813,615,B2B
814,613,SaaS
815,613,Real Estate
816,613,Analytics
817,611,Fintech
818,611,Machine Learning
819,608,Nonprofit
820,603,Beauty
821,602,Productivity
822,602,Health & Wellness
823,600,SaaS
824,600,B2B
825,597,Fintech
826,597,SaaS
827,588,Education
828,587,Education
829,587,eLearning
830,587,Gaming
831,585,Consumer Health Services
832,583,Education
833,578,Marketplace
834,578,Logistics
835,578,Furniture
836,577,Health Tech
837,577,Digital Health
838,576,SaaS
839,576,B2B
840,574,Travel
841,574,LegalTech
842,574,Insurance
843,571,SaaS
844,571,Analytics
845,571,Retail
846,648,Video
847,648,Media
848,646,Analytics
849,645,Augmented Reality
850,645,E-Commerce
851,645,Fashion
852,637,Subscriptions
853,631,Developer Tools
854,631,NLP
855,631,APIs
856,618,Fintech
857,618,Travel
858,618,Enterprise Software
859,617,Delivery
860,617,Logistics
861,617,API
862,614,Open Source
863,614,Time Series
864,612,Machine Learning
865,612,Personalization
866,610,Sales Enablement
867,604,Advertising
868,599,Smart Home Assistants
869,599,IoT
870,599,Security
871,598,APIs
872,594,Ticketing
873,581,FinOps
874,581,Fintech
875,575,E-Commerce
876,575,Retail
877,573,Marketplace
878,573,Advertising
879,572,Fintech
880,572,SaaS
881,572,Payments
882,572,B2B
883,644,Deep Learning
884,638,Remote Work
885,635,Gaming
886,629,Fintech
887,629,Investing
888,627,Drones
889,627,Agriculture
890,625,Marketplace
891,624,IoT
892,624,Agriculture
893,623,E-Commerce
894,623,Retail
895,621,Team Collaboration
896,621,Remote
897,607,Messaging
898,605,Marketplace
899,605,Furniture
900,601,3D Printing
901,601,Advanced Materials
902,593,Hardware
903,593,IoT
904,592,Food & Beverage
905,591,Dating
906,589,Messaging
907,589,Email
908,584,Education
909,584,Kids
910,579,Video
911,729,Synthetic Biology
912,729,Diagnostics
913,729,Automation
914,700,Quantum Computing
915,731,Small Modular Reactors
916,731,Climate
917,662,Artificial Intelligence
918,662,Compliance
919,662,HR Tech
920,662,API
921,662,Enterprise Software
922,728,Fintech
923,728,B2B
924,728,Identity
925,705,Logistics
926,705,E-commerce
927,732,Nonprofit
928,730,Fusion Energy
929,730,Hard Tech
930,730,Climate
931,730,Energy
932,727,SaaS
933,719,Marketplace
934,719,B2B
935,719,Travel
936,714,SaaS
937,714,SMS
938,714,Email
939,711,Analytics
940,709,Navigation
941,703,B2B
942,703,Sales
943,702,Fintech
944,702,Crypto / Web3
945,695,Machine Learning
946,695,Health Tech
947,695,Digital Health
948,695,Healthcare
949,695,NLP
950,694,Privacy
951,694,Advertising
952,693,DeFi
953,693,Crypto / Web3
954,691,Advanced Materials
955,691,Automotive
956,688,Machine Learning
957,688,E-commerce
958,688,Apparel
959,687,Market Research
960,681,Crypto / Web3
961,681,Open Source
962,677,Marketplace
963,677,E-commerce
964,673,Developer Tools
965,673,Education
966,673,Gaming
967,670,Marketplace
968,670,Food & Beverage
969,658,Analytics
970,658,Subscriptions
971,653,Marketplace
972,653,International
973,651,Developer Tools
974,651,DevSecOps
975,651,DevOps
976,651,Web Development
977,651,Cloud Computing
978,738,Health & Wellness
979,736,Crowdfunding
980,736,Investing
981,735,SaaS
982,735,IoT
983,734,Biotech
984,734,Diagnostics
985,734,Genomics
986,722,Women's Health
987,717,Cellular Agriculture
988,717,Machine Learning
989,717,IoT
990,715,Fintech
991,715,Payments
992,704,Fintech
993,697,Community
994,697,Media
995,686,Hardware
996,686,Consumer
997,686,Food & Beverage
998,685,Health Tech
999,684,Marketplace
1000,682,Fintech
1001,682,Payments
1002,680,SaaS
1003,680,Human Resources
1004,678,Analytics
1005,678,Marketing
1006,676,Analytics
1007,675,SaaS
1008,675,GovTech
1009,675,B2B
1010,666,SaaS
1011,666,B2B
1012,665,Consumer
1013,665,E-commerce
1014,663,Automation
1015,661,Marketplace
1016,659,Fintech
1017,659,Crypto / Web3
1018,655,Community
1019,652,Messaging
1020,733,Health & Wellness
1021,726,IoT
1022,726,Telecommunications
1023,725,Delivery
1024,725,Logistics
1025,725,Food & Beverage
1026,723,Fintech
1027,723,Insurance
1028,721,Biometrics
1029,721,Payments
1030,720,Artificial Intelligence
1031,716,Crypto / Web3
1032,713,Gaming
1033,713,Analytics
1034,712,Fintech
1035,710,Gaming
1036,707,Artificial Intelligence
1037,707,Machine Learning
1038,707,Sales
1039,707,Marketing
1040,707,CRM
1041,706,Marketplace
1042,698,Fintech
1043,698,Neobank
1044,696,Mental Health Tech
1045,696,Telehealth
1046,696,Digital Health
1047,692,Education
1048,692,Health Tech
1049,690,AIOps
1050,690,DevOps
1051,690,Monitoring
1052,689,SaaS
1053,689,Social Media
1054,689,Marketing
1055,679,Furniture
1056,674,Agriculture
1057,674,Genetic Engineering
1058,674,Biotechnology
1059,672,Air Taxis
1060,669,LegalTech
1061,668,Crowdfunding
1062,667,Hardware
1063,657,Nanomedicine
1064,656,Neurotechnology
1065,656,Health Tech
1066,654,Security
1067,810,Developer Tools
1068,810,DevSecOps
1069,810,Open Source
1070,739,Biotech
1071,739,Drug discovery
1072,739,Oncology
1073,805,Health Tech
1074,805,Diagnostics
1075,809,Construction
1076,767,E-commerce
1077,767,Supply Chain
1078,767,Food Tech
1079,767,Agriculture
1080,827,Banking as a Service
1081,827,Fintech
1082,827,Payments
1083,827,India
1084,857,Biotech
1085,857,Therapeutics
1086,856,Cashierless Checkout
1087,856,Deep Learning
1088,856,Hardware
1089,856,Computer Vision
1090,856,AI
1091,853,Telehealth
1092,853,Medical Devices
1093,853,Digital Health
1094,849,Mental Health
1095,849,Conversational AI
1096,848,Artificial Intelligence
1097,848,Generative AI
1098,848,SaaS
1099,848,DevOps
1100,848,AI
1101,847,Marketplace
1102,840,Medical Devices
1103,835,Robotics
1104,835,Biotech
1105,834,Medical Devices
1106,833,Fintech
1107,833,Marketplace
1108,833,Travel
1109,817,SaaS
1110,817,Cannabis
1111,815,E-commerce
1112,813,Carbon Capture and Removal
1113,813,Bioplastic
1114,813,Climate
1115,811,SaaS
1116,811,Nonprofit
1117,811,B2B
1118,808,Analytics
1119,808,Social
1120,807,Real Estate
1121,807,Investing
1122,802,Logistics
1123,797,eLearning
1124,797,Virtual Reality
1125,797,Construction
1126,797,Design Tools
1127,797,Metaverse
1128,791,Marketplace
1129,791,B2B
1130,791,Social Media
1131,791,Advertising
1132,791,Creator Economy
1133,790,B2B
1134,789,Machine Learning
1135,789,Consumer Health Services
1136,787,Consumer Health Services
1137,787,Nonprofit
1138,786,Open Source
1139,786,Web Development
1140,786,Cloud Computing
1141,782,Developer Tools
1142,782,Design Tools
1143,781,Sustainability
1144,781,Proptech
1145,781,Energy
1146,774,Education
1147,774,eLearning
1148,774,Video
1149,774,HR Tech
1150,774,Subscriptions
1151,773,Marketplace
1152,773,Consumer Health Services
1153,764,Sustainability
1154,763,Banking as a Service
1155,763,Conversational Banking
1156,763,Fintech
1157,762,Drones
1158,762,B2B
1159,762,Renewable Energy
1160,762,ClimateTech
1161,762,AI
1162,761,Crowdfunding
1163,760,Crypto / Web3
1164,760,Nonprofit
1165,756,AI-powered Drug Discovery
1166,756,Deep Learning
1167,756,Biotech
1168,756,Drug discovery
1169,756,Oncology
1170,755,Fintech
1171,755,Solar Power
1172,755,Climate
1173,751,B2B
1174,751,AI Assistant
1175,749,Developer Tools
1176,749,DevSecOps
1177,749,SaaS
1178,749,Kubernetes
1179,749,Data Engineering
1180,748,Healthcare
1181,748,AI
1182,740,SaaS
1183,740,Digital Health
1184,740,Healthcare
1185,740,AI
1186,1434,Civic Tech
1187,1434,GovTech
1188,855,E-Commerce
1189,855,Supply Chain
1190,846,Transportation
1191,837,IoT
1192,837,Transportation
1193,830,Machine Learning
1194,830,SaaS
1195,830,AI
1196,829,Fintech
1197,825,B2B
1198,824,Advertising
1199,820,Messaging
1200,820,Analytics
1201,820,Notifications
1202,818,Payments
1203,818,E-Commerce
1204,818,API
1205,814,Travel
1206,814,Booking
1207,801,Marketplace
1208,800,SaaS
1209,800,GovTech
1210,800,Procurement
1211,799,Artificial Intelligence
1212,799,Machine Learning
1213,799,Enterprise
1214,799,Data Engineering
1215,798,Social
1216,798,Referrals
1217,796,Fintech
1218,796,Investing
1219,793,SaaS
1220,793,Transportation
1221,793,Mobility
1222,792,Food Service Robots & Machines
1223,792,Food Tech
1224,788,SaaS
1225,788,AI
1226,785,Hardware
1227,785,Medical Devices
1228,780,Artificial Intelligence
1229,780,Machine Learning
1230,778,Developer Tools
1231,778,Machine Learning
1232,778,Data Science
1233,777,Marketplace
1234,777,Real Estate
1235,769,SaaS
1236,769,HR Tech
1237,769,Restaurant Tech
1238,768,SaaS
1239,768,Productivity
1240,768,Collaboration
1241,768,Enterprise Software
1242,759,Cybersecurity
1243,759,Fraud Prevention
1244,753,IoT
1245,753,Travel
1246,752,E-Commerce
1247,752,Marketing
1248,750,Security
1249,750,Fraud Detection
1250,746,Media
1251,744,Machine Learning
1252,744,SaaS
1253,743,Payments
1254,743,Security
1255,854,Cybersecurity
1256,854,Enterprise
1257,852,Food Tech
1258,850,Analytics
1259,850,Advertising
1260,845,Sleep Tech
1261,845,Health Tech
1262,843,Space Exploration
1263,843,Satellites
1264,839,Sleep Tech
1265,839,Health Tech
1266,838,Healthcare
1267,832,Machine Learning
1268,832,Computer Vision
1269,832,Open Source
1270,831,Social
1271,828,Analytics
1272,828,Security
1273,823,GovTech
1274,822,Artificial Intelligence
1275,822,Augmented Reality
1276,822,Computer Vision
1277,821,Hardware
1278,819,Developer Tools
1279,819,DevOps
1280,812,Fintech
1281,812,Payments
1282,804,Retail Tech
1283,804,Retail
1284,795,Marketplace
1285,795,E-commerce
1286,795,Food & Beverage
1287,794,E-Commerce
1288,794,Retail
1289,784,Restaurant Tech
1290,784,Retail
1291,783,Scheduling
1292,783,Healthcare
1293,779,Manufacturing
1294,775,Developer Tools
1295,772,Fintech
1296,766,Messaging
1297,766,Team Collaboration
1298,765,Investing
1299,765,Stocks
1300,758,Real Estate
1301,758,Proptech
1302,747,Artificial Intelligence
1303,747,Biotech
1304,944,eLearning
1305,870,Fintech
1306,870,Investing
1307,967,Fintech
1308,967,SaaS
1309,967,Human Resources
1310,967,HR Tech
1311,967,Investing
1312,966,Drones
1313,966,Delivery
1314,964,Hardware
1315,964,Health Tech
1316,963,Marketplace
1317,962,Medical Devices
1318,962,Biotech
1319,962,Diagnostics
1320,961,Indoor Mapping
1321,961,Gardening
1322,960,Developer Tools
1323,960,Video
1324,952,SaaS
1325,952,Data Engineering
1326,949,Marketplace
1327,949,SaaS
1328,949,Entertainment
1329,946,Consumer
1330,943,Developer Tools
1331,943,SaaS
1332,943,Design Tools
1333,943,Open Source
1334,941,Nonprofit
1335,938,Fintech
1336,938,Payments
1337,937,Travel
1338,937,Video
1339,936,Hardware
1340,936,Computer Vision
1341,936,Consumer Health Services
1342,932,Fintech
1343,932,India
1344,931,Fintech
1345,931,Finance
1346,928,SaaS
1347,925,AIOps
1348,925,Marketplace
1349,925,SaaS
1350,925,HR Tech
1351,923,Digital Health
1352,923,Healthcare
1353,922,Developer Tools
1354,922,SaaS
1355,922,Design Tools
1356,921,Fashion
1357,915,Consumer Health Services
1358,915,Primary Care
1359,914,Education
1360,914,Fintech
1361,914,SaaS
1362,914,B2B
1363,913,Fintech
1364,908,Medical Devices
1365,908,Healthcare
1366,908,Telemedicine
1367,902,AI-powered Drug Discovery
1368,902,Biotech
1369,902,Healthcare
1370,901,Vertical Farming
1371,901,Agriculture
1372,901,Sustainable Agriculture
1373,900,Fintech
1374,900,SaaS
1375,900,B2B
1376,898,Climate
1377,898,Energy
1378,896,Solar Power
1379,896,Climate
1380,889,SaaS
1381,889,B2B
1382,889,Cannabis
1383,889,Compliance
1384,889,Enterprise Software
1385,888,Marketplace
1386,888,E-Commerce
1387,884,Cloud Gaming
1388,884,Developer Tools
1389,884,Gaming
1390,878,Developer Tools
1391,878,Hardware
1392,878,Marketplace
1393,878,AI
1394,876,SaaS
1395,876,Augmented Reality
1396,873,Marketplace
1397,873,SaaS
1398,873,B2B
1399,872,Logistics
1400,872,Manufacturing
1401,872,China
1402,871,E-Commerce
1403,871,Customization
1404,869,Fintech
1405,869,Nonprofit
1406,869,Housing
1407,866,SaaS
1408,866,LegalTech
1409,865,Community
1410,864,Food Service Robots & Machines
1411,864,Hardware
1412,864,Robotics
1413,862,Developer Tools
1414,862,DevSecOps
1415,862,Next-gen Network Security
1416,861,Logistics
1417,969,SaaS
1418,969,Smart Locks
1419,969,Proptech
1420,959,Health Tech
1421,956,Hardware
1422,956,Sustainability
1423,956,Climate
1424,956,ClimateTech
1425,954,Robotics
1426,953,Education
1427,948,Media
1428,948,eSports
1429,939,Fintech
1430,930,Recruiting
1431,930,HR Tech
1432,927,FinOps
1433,927,Fintech
1434,927,Payments
1435,927,Productivity
1436,926,Solar Power
1437,926,Climate
1438,911,Developer Tools
