,id,industry
162,289,Content
163,284,B2B
164,284,Infrastructure
165,281,Consumer
166,281,Social
167,302,Consumer
168,302,Content
169,301,Consumer
170,301,Social
171,300,Consumer
172,300,Home and Personal
173,299,Consumer
174,299,Home and Personal
175,298,Consumer
176,298,Content
177,297,B2B
178,297,Marketing
179,296,Consumer
180,296,"Travel, Leisure and Tourism"
181,295,Consumer
182,295,Gaming
183,294,B2B
184,294,Productivity
185,293,Consumer
186,293,Content
187,292,Consumer
188,292,Gaming
189,290,Consumer
190,290,Social
191,288,B2B
192,288,"Engineering, Product and Design"
193,287,Consumer
194,287,Home and Personal
195,286,B2B
196,286,Retail
197,285,B2B
198,285,Recruiting and Talent
199,283,Consumer
200,283,Content
201,271,Consumer
202,271,"Travel, Leisure and Tourism"
203,270,B2B
204,270,Marketing
205,268,Real Estate and Construction
206,268,Housing and Real Estate
207,275,B2B
208,275,Infrastructure
209,274,Consumer
210,274,Content
211,273,B2B
212,273,Productivity
213,272,Consumer
214,272,Social
215,267,Consumer
216,267,Gaming
217,280,B2B
218,280,Marketing
219,279,Consumer
220,279,Gaming
221,278,Consumer
222,278,Social
223,277,Consumer
224,277,Social
225,276,Real Estate and Construction
226,276,Housing and Real Estate
227,269,Consumer
228,269,Food and Beverage
229,266,B2B
230,266,Productivity
231,265,Consumer
232,265,Social
233,244,Fintech
234,244,Payments
235,248,B2B
236,248,Analytics
237,240,Fintech
238,259,Education
239,258,Real Estate and Construction
240,258,Housing and Real Estate
241,249,B2B
242,249,Retail
243,245,Consumer
244,245,Home and Personal
245,239,Consumer
246,239,Home and Personal
247,256,Consumer
248,256,"Travel, Leisure and Tourism"
249,255,Consumer
250,255,Content
251,250,Consumer
252,250,Consumer Electronics
253,246,B2B
254,246,Infrastructure
255,243,Consumer
256,243,Social
257,242,Consumer
258,242,Social
259,264,B2B
260,264,Retail
261,263,Consumer
262,263,Consumer Electronics
263,262,B2B
264,262,"Engineering, Product and Design"
265,261,B2B
266,261,Marketing
267,260,B2B
268,260,Human Resources
269,257,B2B
270,257,"Engineering, Product and Design"
271,254,Consumer
272,254,Social
273,253,B2B
274,253,Marketing
275,252,Healthcare
276,252,Therapeutics
277,251,Consumer
278,251,Transportation Services
279,247,Consumer
280,247,Job and Career Services
281,241,Consumer
282,241,Content
283,221,B2B
284,221,"Engineering, Product and Design"
285,226,B2B
286,226,Marketing
287,232,B2B
288,232,Sales
289,231,Real Estate and Construction
290,231,Housing and Real Estate
291,230,Consumer
292,230,Home and Personal
293,224,Consumer
294,224,Home and Personal
295,223,B2B
296,223,Infrastructure
297,220,Consumer
298,220,Content
299,219,B2B
300,219,"Engineering, Product and Design"
301,218,B2B
302,218,"Engineering, Product and Design"
303,216,Consumer
304,216,Social
305,215,B2B
306,215,"Engineering, Product and Design"
307,214,B2B
308,214,Marketing
309,213,B2B
310,213,Retail
311,212,B2B
312,212,Retail
313,382,Consumer
314,238,B2B
315,238,"Engineering, Product and Design"
316,236,B2B
317,236,Marketing
318,235,Consumer
319,235,Gaming
320,234,B2B
321,234,"Engineering, Product and Design"
322,233,B2B
323,233,Analytics
324,229,B2B
325,229,Retail
326,228,Consumer
327,228,Gaming
328,227,Consumer
329,227,Content
330,225,Consumer
331,225,Content
332,222,B2B
333,222,Operations
334,217,B2B
335,217,Retail
336,202,B2B
337,202,"Engineering, Product and Design"
338,177,B2B
339,177,Retail
340,197,Fintech
341,197,Consumer Finance
342,201,B2B
343,201,Productivity
344,200,B2B
345,200,Finance and Accounting
346,198,B2B
347,198,Infrastructure
348,188,Consumer
349,188,Home and Personal
350,187,B2B
351,187,Marketing
352,181,Education
353,209,B2B
354,209,Marketing
355,208,Consumer
356,208,Social
357,207,B2B
358,207,Marketing
359,206,Consumer
360,206,Social
361,205,Consumer
362,205,Social
363,194,Consumer
364,194,Consumer Electronics
365,193,B2B
366,193,"Engineering, Product and Design"
367,192,Consumer
368,192,Home and Personal
369,191,Consumer
370,191,Home and Personal
371,186,Real Estate and Construction
372,186,Housing and Real Estate
373,183,B2B
374,183,Infrastructure
375,182,B2B
376,182,Productivity
377,180,B2B
378,180,Productivity
379,178,Consumer
380,178,"Travel, Leisure and Tourism"
381,176,B2B
382,176,Analytics
383,211,Consumer
384,211,Gaming
385,210,Consumer
386,210,Social
387,204,Consumer
388,204,Social
389,203,Fintech
390,203,Consumer Finance
391,199,B2B
392,199,Productivity
393,196,Consumer
394,196,Gaming
395,195,Consumer
396,195,Content
397,190,B2B
398,190,Productivity
399,189,B2B
400,189,"Engineering, Product and Design"
401,185,Consumer
402,185,Social
403,184,Consumer
404,184,Home and Personal
405,179,Consumer
406,179,Gaming
407,158,B2B
408,158,Retail
409,168,Consumer
410,168,Apparel and Cosmetics
411,145,B2B
412,145,Productivity
413,170,Healthcare
414,170,Healthcare IT
415,172,Consumer
416,172,Home and Personal
417,171,B2B
418,171,Office Management
419,164,Consumer
420,164,Gaming
421,160,B2B
422,160,Sales
423,149,Fintech
424,149,Payments
425,147,Real Estate and Construction
426,147,Housing and Real Estate
427,146,Consumer
428,146,Home and Personal
429,143,B2B
430,143,Productivity
431,141,B2B
432,141,"Engineering, Product and Design"
433,138,B2B
434,138,Retail
435,134,B2B
436,134,Infrastructure
437,173,B2B
438,173,Retail
439,169,Consumer
440,169,Food and Beverage
441,165,Consumer
442,165,Job and Career Services
443,162,B2B
444,162,"Engineering, Product and Design"
445,159,B2B
446,159,Infrastructure
447,153,Consumer
448,153,Consumer Electronics
449,152,Consumer
450,152,Gaming
451,151,Healthcare
452,151,Healthcare IT
453,150,B2B
454,150,Analytics
455,148,B2B
456,148,Marketing
457,144,B2B
458,144,Productivity
459,142,B2B
460,142,Marketing
461,133,B2B
462,133,"Engineering, Product and Design"
463,175,Consumer
464,175,Home and Personal
465,174,B2B
466,174,Office Management
467,167,B2B
468,167,Productivity
469,166,Fintech
470,166,Asset Management
471,163,Education
472,161,Fintech
473,161,Consumer Finance
474,157,B2B
475,157,Retail
476,156,Consumer
477,156,Social
478,155,Education
479,154,Consumer
480,154,Content
481,140,B2B
482,140,Infrastructure
483,139,Consumer
484,139,Gaming
485,137,Consumer
486,137,Social
487,136,B2B
488,136,Productivity
489,135,B2B
490,135,Retail
491,132,Consumer
492,132,Apparel and Cosmetics
493,129,B2B
494,129,Marketing
495,88,B2B
496,88,Analytics
497,86,Education
498,98,Fintech
499,98,Consumer Finance
500,91,B2B
501,91,Legal
502,90,Healthcare
503,90,Healthcare IT
504,85,Healthcare
505,85,Healthcare IT
506,83,Healthcare
507,83,Healthcare Services
508,82,B2B
509,82,Sales
510,76,B2B
511,76,Marketing
512,73,B2B
513,73,Recruiting and Talent
514,72,B2B
515,72,Infrastructure
516,119,B2B
517,119,Marketing
518,116,B2B
519,116,Infrastructure
520,112,B2B
521,112,Marketing
522,110,B2B
523,105,B2B
524,105,Sales
525,102,B2B
526,102,Security
527,99,B2B
528,99,Analytics
529,97,B2B
530,97,Infrastructure
531,96,B2B
532,96,Infrastructure
533,89,B2B
534,89,Infrastructure
535,87,B2B
536,87,Infrastructure
537,80,Fintech
538,80,Consumer Finance
539,79,Consumer
540,79,Home and Personal
541,75,Consumer
542,75,Content
543,74,B2B
544,74,Productivity
545,71,B2B
546,71,"Engineering, Product and Design"
547,70,B2B
548,70,Analytics
549,131,Consumer
550,131,Social
551,130,Consumer
552,130,Consumer Electronics
553,127,B2B
554,127,"Engineering, Product and Design"
555,124,B2B
556,124,Marketing
557,122,B2B
558,122,Marketing
559,118,Consumer
560,118,Social
561,117,B2B
562,117,Infrastructure
563,115,Consumer
564,115,Gaming
565,106,Consumer
566,106,Food and Beverage
567,104,Consumer
568,104,Transportation Services
569,103,Education
570,101,Consumer
571,101,Home and Personal
572,95,B2B
573,95,Productivity
574,94,B2B
575,94,Marketing
576,92,Education
577,84,B2B
578,84,Infrastructure
579,81,B2B
580,81,Infrastructure
581,78,Consumer
582,78,Food and Beverage
583,77,Consumer
584,77,Gaming
585,69,Consumer
586,69,Home and Personal
587,128,Real Estate and Construction
588,128,Housing and Real Estate
589,126,B2B
590,126,Productivity
591,125,Real Estate and Construction
592,125,Housing and Real Estate
593,123,Consumer
594,123,Content
595,121,Consumer
596,121,Transportation Services
597,120,Fintech
598,120,Consumer Finance
599,114,Consumer
600,114,Social
601,111,Consumer
602,111,Home and Personal
603,109,Consumer
604,109,Home and Personal
605,108,Consumer
606,108,Social
607,107,B2B
608,107,Productivity
609,100,Fintech
610,100,Consumer Finance
611,40,B2B
612,40,Analytics
613,30,Consumer
614,30,Virtual and Augmented Reality
615,8,Real Estate and Construction
616,8,Construction
617,60,Fintech
618,60,Payments
619,24,B2B
620,24,Human Resources
621,4940,Fintech
622,4940,Payments
623,62,Healthcare
624,62,Healthcare Services
625,52,Industrials
626,5,Industrials
627,5,Manufacturing and Robotics
628,35,B2B
629,35,Productivity
630,32,Education
631,31,Consumer
632,31,Apparel and Cosmetics
633,19,B2B
634,19,"Engineering, Product and Design"
635,16,Healthcare
636,16,Healthcare IT
637,1548,B2B
638,14,B2B
639,14,Recruiting and Talent
640,10,B2B
641,10,Recruiting and Talent
642,7,Real Estate and Construction
643,7,Housing and Real Estate
644,67,Consumer
645,67,Home and Personal
646,65,Consumer
647,65,Content
648,6,Consumer
649,6,Home and Personal
650,59,B2B
651,59,Marketing
652,58,Consumer
653,58,Transportation Services
654,54,Consumer
655,54,Content
656,51,B2B
657,51,Human Resources
658,50,B2B
659,50,"Engineering, Product and Design"
660,49,B2B
661,49,"Engineering, Product and Design"
662,47,Industrials
663,47,Agriculture
664,44,B2B
665,44,"Engineering, Product and Design"
666,42,Fintech
667,42,Consumer Finance
668,38,Consumer
669,38,Home and Personal
670,29,B2B
671,29,Marketing
672,25,Consumer
673,25,Social
674,20,Fintech
675,20,Payments
676,18,B2B
677,18,Productivity
678,1719,B2B
679,1719,Productivity
680,15,B2B
681,15,Infrastructure
682,13,Real Estate and Construction
683,13,Housing and Real Estate
684,12824,Consumer
685,12824,Content
686,11,B2B
687,11,Productivity
688,9,B2B
689,9,Productivity
690,66,B2B
691,66,Marketing
692,63,Consumer
693,63,Transportation Services
694,61,B2B
695,61,Productivity
696,57,B2B
697,57,"Engineering, Product and Design"
698,56,Consumer
699,56,Content
700,55,B2B
701,55,Infrastructure
702,48,Consumer
703,48,Apparel and Cosmetics
704,46,Consumer
705,46,Home and Personal
706,45,Consumer
707,45,Gaming
708,43,B2B
709,43,Infrastructure
710,41,Fintech
711,41,Credit and Lending
712,39,Consumer
713,39,Food and Beverage
714,37,B2B
715,37,"Engineering, Product and Design"
716,36,Consumer
717,36,Social
718,34,B2B
719,34,"Engineering, Product and Design"
720,33,Education
721,28,Consumer
722,28,Social
723,27,B2B
724,27,Infrastructure
725,26,B2B
726,26,"Engineering, Product and Design"
727,23,B2B
728,23,Retail
729,22,B2B
730,22,Marketing
731,21,Consumer
732,21,Gaming
733,1720,Consumer
734,1720,Home and Personal
735,17,Consumer
736,17,Social
737,12,B2B
738,12,Operations
739,439,Fintech
740,439,Banking and Exchange
741,468,Consumer
742,468,Food and Beverage
743,445,B2B
744,429,B2B
745,429,Recruiting and Talent
746,412,Education
747,414,Fintech
748,414,Consumer Finance
749,442,B2B
750,442,Productivity
751,469,Consumer
752,469,Social
753,467,Consumer
754,467,Content
755,464,B2B
756,464,"Engineering, Product and Design"
757,461,B2B
758,461,Productivity
759,460,Consumer
760,460,Apparel and Cosmetics
761,446,B2B
762,446,Operations
763,444,B2B
764,444,Sales
765,440,B2B
766,438,Consumer
767,438,Content
768,432,B2B
769,432,Human Resources
770,428,B2B
771,428,Operations
772,417,Healthcare
773,417,Healthcare IT
774,415,Fintech
775,415,Asset Management
776,409,B2B
777,409,Supply Chain and Logistics
778,407,B2B
779,407,Productivity
780,405,Healthcare
781,405,Healthcare Services
782,403,Healthcare
783,403,Healthcare IT
784,402,B2B
785,402,Marketing
786,395,B2B
787,395,"Engineering, Product and Design"
788,462,Education
789,455,B2B
790,455,Marketing
791,443,B2B
792,443,Recruiting and Talent
793,441,B2B
794,441,Sales
795,434,B2B
796,434,Operations
797,433,Consumer
798,433,Home and Personal
799,423,B2B
800,423,"Engineering, Product and Design"
801,413,Consumer
802,413,"Travel, Leisure and Tourism"
803,410,Consumer
804,410,Food and Beverage
805,401,Consumer
806,401,Content
807,398,B2B
808,398,Marketing
809,397,Education
810,394,B2B
811,394,Analytics
812,393,Consumer
813,393,Gaming
814,390,B2B
815,390,Productivity
816,389,Consumer
817,389,Consumer Electronics
818,388,Education
819,387,B2B
820,387,Infrastructure
821,466,B2B
822,466,"Engineering, Product and Design"
823,465,Consumer
824,465,Home and Personal
825,463,Consumer
826,463,"Travel, Leisure and Tourism"
827,459,B2B
828,459,"Engineering, Product and Design"
829,458,B2B
830,458,Productivity
831,457,Consumer
832,457,Transportation Services
833,456,B2B
834,456,Infrastructure
835,454,B2B
836,454,Retail
837,453,Consumer
838,453,Social
839,452,B2B
840,452,Human Resources
841,451,B2B
842,451,"Engineering, Product and Design"
843,450,Consumer
844,450,Home and Personal
845,449,B2B
846,449,Infrastructure
847,448,Consumer
848,448,Home and Personal
849,447,Consumer
850,447,Consumer Electronics
851,437,B2B
852,437,Sales
853,435,B2B
854,435,Operations
855,431,B2B
856,431,Supply Chain and Logistics
857,430,Consumer
858,430,Social
859,427,B2B
860,427,"Engineering, Product and Design"
861,426,Consumer
862,426,Home and Personal
863,425,B2B
864,425,Productivity
865,424,Consumer
866,424,Content
867,422,B2B
868,422,Productivity
869,421,B2B
870,421,Analytics
871,420,B2B
872,420,"Engineering, Product and Design"
873,419,B2B
874,419,Productivity
875,418,Healthcare
876,418,Consumer Health and Wellness
877,416,Consumer
878,411,B2B
879,411,"Engineering, Product and Design"
880,408,Consumer
881,408,Home and Personal
882,406,Consumer
883,406,Content
884,404,B2B
885,404,"Engineering, Product and Design"
886,399,Industrials
887,399,Drones
888,396,Consumer
889,396,Content
890,392,B2B
891,392,Marketing
892,391,B2B
893,391,Analytics
894,386,Consumer
895,386,Content
896,498,B2B
897,498,Analytics
898,482,B2B
899,482,Infrastructure
900,507,B2B
901,507,Human Resources
902,475,Consumer
903,475,Virtual and Augmented Reality
904,516,Healthcare
905,508,Consumer
906,508,Food and Beverage
907,505,Consumer
908,505,Home and Personal
909,503,Fintech
910,503,Asset Management
911,500,Healthcare
912,500,Healthcare Services
913,497,Healthcare
914,497,Healthcare Services
915,493,B2B
916,493,Retail
917,492,Consumer
918,492,Apparel and Cosmetics
919,491,B2B
920,491,Marketing
921,490,B2B
922,490,Infrastructure
923,488,B2B
924,488,Infrastructure
925,486,B2B
926,486,Retail
927,484,Consumer
928,484,Home and Personal
929,481,B2B
930,481,Productivity
931,479,Consumer
932,479,Home and Personal
933,473,B2B
934,473,Analytics
935,471,B2B
936,471,"Engineering, Product and Design"
937,512,Consumer
938,512,Apparel and Cosmetics
939,511,B2B
940,511,Retail
941,506,B2B
942,506,Operations
943,504,Fintech
944,504,Consumer Finance
945,499,Healthcare
946,499,Healthcare IT
947,494,B2B
948,494,Productivity
949,485,B2B
950,485,Infrastructure
951,483,B2B
952,483,Analytics
953,478,Consumer
954,478,"Travel, Leisure and Tourism"
955,472,B2B
956,472,Productivity
957,515,B2B
958,515,Recruiting and Talent
959,514,B2B
960,514,Retail
961,513,Industrials
962,513,Drones
963,509,B2B
964,509,Infrastructure
965,502,Healthcare
966,502,Healthcare Services
967,501,Consumer
968,501,"Travel, Leisure and Tourism"
969,496,Consumer
970,496,Home and Personal
971,495,B2B
972,495,Retail
973,489,Consumer
974,489,Transportation Services
975,487,Healthcare
976,487,Healthcare IT
977,480,B2B
978,480,Human Resources
979,477,B2B
980,477,Finance and Accounting
981,476,B2B
982,476,Supply Chain and Logistics
983,474,B2B
984,474,"Engineering, Product and Design"
985,470,Consumer
986,470,Apparel and Cosmetics
987,531,Consumer
988,531,Food and Beverage
989,542,B2B
990,542,Legal
991,528,B2B
992,528,Infrastructure
993,566,B2B
994,566,Marketing
995,563,Fintech
996,555,Consumer
997,555,Home and Personal
998,552,B2B
999,552,Marketing
1000,549,Education
1001,540,B2B
1002,540,Retail
1003,534,B2B
1004,534,Supply Chain and Logistics
1005,532,B2B
1006,532,Supply Chain and Logistics
1007,522,B2B
1008,517,Healthcare
1009,517,Healthcare Services
1010,570,Consumer
1011,570,Home and Personal
1012,567,Healthcare
1013,567,Consumer Health and Wellness
1014,564,B2B
1015,564,Marketing
1016,561,Consumer
1017,561,Consumer Electronics
1018,560,B2B
1019,560,"Engineering, Product and Design"
1020,558,Consumer
1021,558,Content
1022,556,Fintech
1023,556,Banking and Exchange
1024,554,Real Estate and Construction
1025,554,Housing and Real Estate
1026,546,Consumer
1027,546,Consumer Electronics
1028,543,Consumer
1029,543,Home and Personal
1030,541,Consumer
1031,541,Food and Beverage
1032,533,B2B
1033,533,Legal
1034,526,B2B
1035,526,Recruiting and Talent
1036,524,Consumer
1037,524,Home and Personal
1038,523,Fintech
1039,523,Banking and Exchange
1040,521,B2B
1041,521,"Engineering, Product and Design"
1042,518,B2B
1043,518,"Engineering, Product and Design"
1044,569,Consumer
1045,569,Consumer Electronics
1046,568,B2B
1047,568,"Engineering, Product and Design"
1048,565,B2B
1049,565,Productivity
1050,562,Healthcare
1051,562,Consumer Health and Wellness
1052,559,B2B
1053,559,Retail
1054,557,B2B
1055,557,"Engineering, Product and Design"
1056,553,Healthcare
1057,553,Consumer Health and Wellness
1058,550,B2B
1059,550,"Engineering, Product and Design"
1060,548,Education
1061,547,Consumer
1062,547,Virtual and Augmented Reality
1063,545,B2B
1064,545,Retail
1065,544,Consumer
1066,544,Apparel and Cosmetics
1067,538,B2B
1068,538,Productivity
1069,537,Consumer
1070,537,Consumer Electronics
1071,536,Consumer
1072,536,Apparel and Cosmetics
1073,535,B2B
1074,535,"Engineering, Product and Design"
1075,530,B2B
1076,530,Productivity
1077,529,B2B
1078,529,Retail
1079,527,Fintech
1080,527,Banking and Exchange
1081,525,B2B
1082,525,Infrastructure
1083,520,Consumer
1084,520,Social
1085,519,B2B
1086,519,Human Resources
1087,630,B2B
1088,630,Office Management
1089,636,B2B
1090,636,"Engineering, Product and Design"
1091,580,Consumer
1092,580,Consumer Electronics
1093,590,Industrials
1094,590,Automotive
1095,595,B2B
1096,595,Supply Chain and Logistics
1097,643,B2B
1098,643,Marketing
1099,641,Consumer
1100,640,B2B
1101,640,Operations
1102,639,Industrials
1103,639,Climate
1104,634,B2B
1105,634,Retail
1106,633,Fintech
1107,633,Credit and Lending
1108,628,B2B
1109,626,Real Estate and Construction
1110,626,Housing and Real Estate
1111,622,Real Estate and Construction
1112,622,Housing and Real Estate
1113,619,Consumer
1114,619,"Travel, Leisure and Tourism"
1115,616,Consumer
1116,616,Home and Personal
1117,615,B2B
1118,615,"Engineering, Product and Design"
1119,613,B2B
1120,613,Office Management
1121,611,Fintech
1122,611,Asset Management
1123,603,Consumer
1124,603,Apparel and Cosmetics
1125,602,B2B
1126,602,Productivity
1127,600,B2B
1128,600,"Engineering, Product and Design"
1129,597,Fintech
1130,597,Banking and Exchange
1131,587,Education
1132,583,Education
1133,578,Consumer
1134,578,Home and Personal
1135,577,Healthcare
1136,576,B2B
1137,576,Sales
1138,574,Consumer
1139,574,"Travel, Leisure and Tourism"
1140,571,B2B
1141,571,Retail
1142,648,B2B
1143,648,Infrastructure
1144,646,B2B
1145,646,Analytics
1146,645,B2B
1147,645,"Engineering, Product and Design"
1148,637,Consumer
1149,637,Food and Beverage
1150,632,B2B
1151,632,Office Management
1152,631,B2B
1153,631,"Engineering, Product and Design"
1154,620,B2B
1155,620,Productivity
1156,618,B2B
1157,618,Finance and Accounting
1158,617,B2B
1159,617,Supply Chain and Logistics
1160,614,B2B
1161,614,Infrastructure
1162,612,B2B
1163,612,Marketing
1164,610,B2B
1165,610,Sales
1166,606,B2B
1167,606,Sales
1168,604,B2B
1169,604,Marketing
1170,599,Consumer
1171,599,Consumer Electronics
1172,598,B2B
1173,598,"Engineering, Product and Design"
1174,594,B2B
1175,594,Retail
1176,581,B2B
1177,581,Finance and Accounting
1178,575,B2B
1179,575,Retail
1180,573,B2B
1181,573,Marketing
1182,572,B2B
1183,572,Finance and Accounting
1184,644,Consumer
1185,644,Social
1186,638,B2B
1187,638,"Engineering, Product and Design"
1188,635,Consumer
1189,635,Consumer Electronics
1190,629,B2B
1191,629,Finance and Accounting
1192,627,Industrials
1193,627,Agriculture
1194,625,Consumer
1195,625,Apparel and Cosmetics
1196,624,Industrials
1197,624,Agriculture
1198,623,Consumer
1199,621,B2B
1200,621,Office Management
1201,607,Fintech
1202,607,Asset Management
1203,605,Consumer
1204,605,Home and Personal
1205,601,Industrials
1206,601,Manufacturing and Robotics
1207,593,Consumer
1208,593,Consumer Electronics
1209,592,B2B
1210,592,Office Management
1211,591,Consumer
1212,591,Social
1213,589,B2B
1214,589,Productivity
1215,584,Consumer
1216,584,Home and Personal
1217,579,Consumer
1218,579,Social
1219,729,Healthcare
1220,729,Industrial Bio
1221,700,Industrials
1222,700,Manufacturing and Robotics
1223,731,Industrials
1224,731,Energy
1225,662,B2B
1226,662,Human Resources
1227,728,B2B
1228,728,"Engineering, Product and Design"
1229,705,B2B
1230,705,Supply Chain and Logistics
1231,730,Industrials
1232,730,Energy
1233,727,B2B
1234,727,Productivity
1235,719,Consumer
1236,719,"Travel, Leisure and Tourism"
1237,714,B2B
1238,714,Marketing
1239,711,B2B
1240,711,Marketing
1241,709,Consumer
1242,709,Transportation Services
1243,703,B2B
1244,703,Recruiting and Talent
1245,702,Fintech
1246,702,Banking and Exchange
1247,695,Healthcare
1248,694,B2B
1249,694,Marketing
1250,693,B2B
1251,693,Infrastructure
1252,691,Industrials
1253,691,Manufacturing and Robotics
1254,688,Consumer
1255,688,Apparel and Cosmetics
1256,687,Healthcare
1257,687,Healthcare IT
1258,681,B2B
1259,681,Infrastructure
1260,677,Consumer
1261,677,Consumer Electronics
1262,673,Consumer
1263,673,Gaming
1264,670,Consumer
1265,670,Food and Beverage
1266,664,Fintech
1267,664,Consumer Finance
1268,658,Fintech
1269,658,Payments
1270,653,Consumer
1271,653,Home and Personal
1272,651,B2B
1273,651,Infrastructure
1274,738,Consumer
1275,738,Home and Personal
1276,736,Fintech
1277,736,Asset Management
1278,735,Real Estate and Construction
1279,735,Housing and Real Estate
1280,734,Healthcare
1281,734,Healthcare IT
1282,722,Consumer
1283,722,Content
1284,717,Industrials
1285,717,Agriculture
1286,715,B2B
1287,715,Finance and Accounting
1288,704,Fintech
1289,704,Payments
1290,697,Consumer
1291,697,Content
1292,686,B2B
1293,686,Office Management
1294,685,Healthcare
1295,685,Healthcare IT
1296,684,Consumer
1297,684,Home and Personal
1298,682,Fintech
1299,682,Payments
1300,680,B2B
1301,680,Human Resources
1302,678,B2B
1303,678,Analytics
1304,676,B2B
1305,676,Infrastructure
1306,675,Government
1307,666,B2B
1308,666,Sales
1309,665,Consumer
1310,665,Food and Beverage
1311,663,B2B
1312,663,Productivity
1313,661,Consumer
1314,661,Transportation Services
1315,659,Fintech
1316,659,Banking and Exchange
1317,655,Consumer
1318,655,Social
1319,652,Consumer
1320,652,Social
1321,733,Consumer
1322,733,Food and Beverage
1323,726,Industrials
1324,726,Manufacturing and Robotics
1325,725,Consumer
1326,725,Food and Beverage
1327,723,B2B
1328,723,Human Resources
1329,721,B2B
1330,721,Retail
1331,720,Consumer
1332,720,Job and Career Services
1333,716,Fintech
1334,716,Asset Management
1335,713,B2B
1336,713,Marketing
1337,712,B2B
1338,712,Finance and Accounting
1339,710,Consumer
1340,710,Apparel and Cosmetics
1341,707,B2B
1342,707,Sales
1343,706,Consumer
1344,706,Home and Personal
1345,701,B2B
1346,701,"Engineering, Product and Design"
1347,698,Fintech
1348,698,Banking and Exchange
1349,696,Healthcare
1350,696,Healthcare Services
1351,692,Healthcare
1352,692,Healthcare IT
1353,690,B2B
1354,690,Infrastructure
1355,689,B2B
1356,689,"Engineering, Product and Design"
1357,679,B2B
1358,679,Retail
1359,674,Healthcare
1360,674,Consumer Health and Wellness
1361,672,Consumer
1362,672,"Travel, Leisure and Tourism"
1363,669,Consumer
1364,669,Transportation Services
1365,668,Fintech
1366,668,Credit and Lending
1367,667,B2B
1368,667,Office Management
1369,657,Healthcare
1370,657,Diagnostics
1371,656,Healthcare
1372,656,Consumer Health and Wellness
1373,654,B2B
1374,654,Office Management
1375,810,B2B
1376,810,"Engineering, Product and Design"
1377,739,Healthcare
1378,739,Diagnostics
1379,805,Healthcare
1380,805,Diagnostics
1381,809,Real Estate and Construction
1382,809,Construction
1383,767,B2B
1384,767,Supply Chain and Logistics
1385,827,Fintech
1386,827,Payments
1387,857,Healthcare
1388,857,Drug Discovery and Delivery
